resep makanan,energi
steam fish,310
oseng tahu,231
omlate bayam,179
sup baso ikan,70
pokcoy siram jamur enoki,116
sup sehat,56
cah brokoli ayam,183
kekian udang,46
telur kukus,230
tumis wortel buncis,295
dimsum diet,52
sawi gulung,44
ayam tempe penyet,458
kare capit kepiting,205
perkedel tahu bawang,42
sate mix ayam dan jamur,446
gyoza,49
dada ayam paprika,272
ayam brokoli tumis,347
tumis sawi tahu,450
tempe tahu orek,5
terong balado rebus,302
capcay toge,200
oseng tahu buncis telur,77
ayam teriyaki,167
tumis ayam tahu telur,461
tempe teriyaki,484
tempe goreng,25
sup tofu telur,503
sup tahu brokoli,158
telor dadar,246
tempe kecap,489
pokcoy kuah pedas,348
pakcoy dengan bawang putih,193
omlet bayam,95
cumi hitam,278
bakwan sayur teflon,216
salad sayur,134
ayam saos tiram,669
tumis telur tahu,278
tumis kangkung,58
tumis timun dan ayam,236
tumis tahu dan tuna,313
sup telur pedas,382
tahu goreng telur,188
tumis tahu telor wortel,252
tumis toge,38
tumis pokcoy saus tiram,195
oseng toge tahu telur,487
stir fry asparagus,22
udang nori,47
sop,353
tumis brokoli jamur,282
steam tofu udang,77
suwir ayam creamy,319
ayam suwir kecap,492
ayam suwir kemangi,314
brokoli bawang putih,190
ayam goreng bumbu kuning,486
tumis sayuran dengan ayam,197
tumis udang dan bakso,164
tumis sayuran,80
tumis kecambah,95
enoki pedas manis,134
bola ikan udang wortel,30
sawi tumis tauge,91
tumis sayur dengan telur,379
teriyaki beef,366
oseng cabe tahu tempe,330
kimchi jiggae,210
dimsum ayam udang,50
tahu telur,203
sawi tumis,53
tumis kacang panjang dan tauge,90
tumis tempe labu kacang panjang,90
tumis buncis tempe,111
tumis brokoli,79
sawi isi ayam udang,131
toge telur,252
goreng labu dengan jagung,121
rebusan tahu dengan kecambah,61
tumis kubis,89
sup pembakar lemak,48
sup labu energi,249
sayur tumis sawi telur,130
tumis sawi putih,263
tumis pakcoy,30
shakshuka,283
oseng sawi telur,113
bayam tumis tahu,397
omlete tahu telur,232
tahu dihancurkan dengan telur orak arik,156
tumis kacang panjang,280
tumis brokoli udang,329
tumis tempe sayur,180
bakso tempe,32
salad ayam,376
telur sutera,195
tumis jamur kacang panjang,91
capcay,363
steak tempe,992
cah sayur,240
ayam suwir balado,708
sayur pokcoy tahu telur,194
sup tahu wortel,189
udang tumis brokoli,334
cumi hitam,278
cumi lada hitam,107
semur tahu,212
chicken deopbap,428
pokcoy ayam saus tiram,327
sup daging sapi dengan kacang panjang,246
rebusan ayam saus tiram,329
tumis jamur daging brokoli,79
dada ayam suwir,283
tumis labu siam,61
beef patty,230
ayam rica-rica,219
kari tuna,76
"salad sayur dengan ayam, tahu, dan tempe",195
ikan tongkol asam pedas,100
sop tulang iga sapi,156
sup sosis dengan sayuran,256
